"","pN(Vert)","qC","pNHoriz","qN"
"1",0,0,0,0
"2",8e-04,0.00200596800431133,0.0020079813027537,0.00200436322990789
"3",0.0016,0.00400390430469513,0.00401193061659511,0.00399749805780761
"4",0.0024,0.00599385704203652,0.00601185603768273,0.00597947178513563
"5",0.0032,0.00797587397325503,0.00800776564591787,0.00795035117654061
"6",0.004,0.00995000247512499,0.00999966750497772,0.00991020246522449
"7",0.0048,0.0119162895480505,0.0119875696623477,0.0118590913582199
"8",0.0056,0.0138747818197955,0.0139714801493539,0.0137970830416046
"9",0.0064,0.0158255255491694,0.0159514069811959,0.0157242421856547
"10",0.0072,0.0177685666296693,0.0179273581569787,0.0176406329499357
"11",0.008,0.0197039505930791,0.0198993416597454,0.0195463189883345
"12",0.0088,0.021631722613026,0.0218673654565091,0.0214413634540314
"13",0.0096,0.0235519275084951,0.0238314374982856,0.0233258290044135
"14",0.0104,0.025464609747303,0.0257915657201251,0.025199777805931
"15",0.0112,0.0273698134495302,0.0277477580411439,0.0270632715388955
"16",0.012,0.0292675823909139,0.0297000223645577,0.028916371402223
"17",0.0128,0.0311579600062006,0.031648366577712,0.0307591381181212
"18",0.0136,0.0330409893924596,0.0335927985521149,0.0325916319367222
"19",0.0144,0.0349167133123589,0.0355333261434687,0.0344139126406609
"20",0.0152,0.0367851741974012,0.0374699571917017,0.0362260395496007
"21",0.016,0.0386464141511248,0.0394026995209995,0.0380280715247068
"22",0.0168,0.0405004749522649,0.0413315609398369,0.0398200669730668
"23",0.0176,0.0423473980578805,0.0432565492410097,0.0416020838520618
"24",0.0184,0.0441872246064441,0.0451776722016659,0.0433741796736855
"25",0.0192,0.046019995420896,0.0470949375833367,0.0451364115088148
"26",0.02,0.0478457510116639,0.0490083531319686,0.0468888359914306
"27",0.0208,0.0496645315796476,0.0509179265779546,0.048631509322791
"28",0.0216,0.0514763770191697,0.0528236656361647,0.0503644872755556
"29",0.0224,0.0532813269208922,0.0547255780059781,0.0520878251978642
"30",0.0232,0.0550794205747007,0.0566236713713134,0.0538015780173676
"31",0.024,0.0568706969725549,0.0585179534006601,0.0555058002452136
"32",0.0248,0.0586551948113074,0.0604084317471099,0.057200545979987
"33",0.0256,0.0604329524954901,0.0622951140483867,0.0588858689116055
"34",0.0264,0.0622040081400692,0.0641780079268783,0.0605618223251714
"35",0.0272,0.0639683995731696,0.0660571209896669,0.0622284591047794
"36",0.028,0.0657261643387677,0.0679324608285595,0.0638858317372822
"37",0.0288,0.0674773396993547,0.0698040350201194,0.0655339923160133
"38",0.0296,0.0692219626385696,0.071671851125696,0.0671729925444679
"39",0.0304,0.0709600698638027,0.0735359166914554,0.0688028837399431
"40",0.0312,0.0726916978087705,0.0753962392484119,0.0704237168371368
"41",0.032,0.0744168826360607,0.0772528263124568,0.0720355423917068
"42",0.0328,0.0761356602396504,0.0791056853843901,0.0736384105837899
"43",0.0336,0.0778480662473949,0.0809548239499505,0.0752323712214824
"44",0.0344,0.0795541360234898,0.0828002494798449,0.0768174737442817
"45",0.0352,0.0812539046709052,0.0846419694297796,0.0783937672264893
"46",0.036,0.0829474070337934,0.0864799912404901,0.0799613003805768
"47",0.0368,0.08463467769987,0.0883143223377706,0.0815201215605148
"48",0.0376,0.0863157510027685,0.0901449701325047,0.0830702787650644
"49",0.0384,0.0879906610243689,0.0919719420206949,0.0846118196410331
"50",0.0392,0.0896594415971015,0.0937952453834932,0.0861447914864951
"51",0.04,0.0913221263062245,0.0956148875872296,0.0876692412539755
"52",0.0408,0.0929787484920772,0.0974308759834432,0.0891852155536004
"53",0.0416,0.0946293412523087,0.0992432179089112,0.0906927606562127
"54",0.0424,0.0962739374440819,0.101051920685679,0.0921919224964529
"55",0.0432,0.097912569686254,0.102856991621088,0.0936827466758078
"56",0.044,0.0995452703615326,0.104658438007809,0.0951652784656251
"57",0.0448,0.101172071618609,0.106456267123868,0.0966395628100956
"58",0.0456,0.10279300537427,0.108250486232676,0.0981056443292032
"59",0.0464,0.104408103315481,0.11004110258306,0.0995635673216429
"60",0.0472,0.106017396901456,0.111828123409293,0.101013375767708
"61",0.048,0.107620917365697,0.113611555931118,0.102455113332143
"62",0.0488,0.109218695718014,0.115391407353786,0.103888823366975
"63",0.0496,0.110810762746528,0.117167684868075,0.1053145489143
"64",0.0504,0.112397149019643,0.118940395650326,0.106732332709053
"65",0.0512,0.113977884888007,0.120709546862472,0.108142217181741
"66",0.052,0.115553000486446,0.122475145652062,0.109544244461151
"67",0.0528,0.117122525735878,0.124237199152294,0.110938456377024
"68",0.0536,0.11868649034521,0.125995714482044,0.112324894462707
"69",0.0544,0.12024492381321,0.12775069874589,0.113703599957772
"70",0.0552,0.121797855430363,0.129502159034148,0.115074613810607
"71",0.056,0.123345314280705,0.131250102422895,0.116437976680985
