"","SC","IC","SN","IN"
"1",76.23,0,667.74,6.03
"2",74.16,0,669.56,6.28
"3",71.73,0.04,671.67,6.56
"4",69.77,0.08,673.42,6.73
"5",68.05,0.11,674.74,7.1
"6",65.92,0.13,676.53,7.42
"7",64.24,0.18,677.82,7.76
"8",62.61,0.21,678.84,8.34
"9",60.75,0.27,680.02,8.96
"10",59.26,0.32,681.14,9.28
"11",57.95,0.36,682.06,9.63
"12",56.63,0.45,682.72,10.2
"13",55.4,0.5,683.28,10.82
"14",53.87,0.57,684.19,11.37
"15",52.68,0.62,684.82,11.88
"16",51.38,0.67,685.23,12.72
"17",50.32,0.76,685.34,13.58
"18",49.1,0.86,685.46,14.58
"19",48.14,0.94,685.66,15.26
"20",47.24,0.96,685.78,16.02
"21",46.13,1.03,685.84,17
"22",45.15,1.19,685.61,18.05
"23",44.51,1.22,685.04,19.23
"24",43.61,1.3,684.59,20.5
"25",43,1.38,683.95,21.67
"26",42.28,1.42,683.48,22.82
"27",41.53,1.43,682.87,24.17
"28",41.17,1.53,681.71,25.59
"29",40.53,1.58,680.59,27.3
"30",40.41,1.64,679.31,28.64
"31",39.97,1.74,677.93,30.36
"32",39.85,1.85,676.38,31.92
"33",39.62,2.02,674.37,33.99
"34",39.28,2.08,672.51,36.13
"35",39.3,2.26,670.7,37.74
"36",39.1,2.37,668.54,39.99
"37",39.25,2.5,666.33,41.92
"38",39.2,2.67,663.98,44.15
"39",39.37,2.85,661.25,46.53
"40",39.59,3.02,658.37,49.02
"41",39.88,3.21,655.75,51.16
"42",40.23,3.4,652.16,54.21
"43",40.38,3.64,648.88,57.1
"44",40.74,3.89,645.52,59.85
"45",40.96,4.23,641.29,63.52
"46",41.41,4.47,637.9,66.22
"47",41.96,4.84,633.71,69.49
"48",42.26,5.29,628.84,73.61
"49",43.32,5.59,624,77.09
"50",44.56,5.7,618.62,81.12
"51",45.28,6.05,613.46,85.21
"52",46.37,6.34,608.21,89.08
"53",47.16,6.78,603.41,92.65
"54",48.11,7.15,597.71,97.03
"55",49.22,7.58,591.52,101.68
"56",50.84,8.05,584.94,106.17
"57",52.37,8.63,578.38,110.62
"58",53.61,9.12,571.68,115.59
"59",54.88,9.86,565.18,120.08
"60",55.99,10.59,558.01,125.41
"61",58.08,11.23,550.65,130.04
"62",59.82,12,542.84,135.34
"63",61.2,12.73,535.95,140.12
"64",62.89,13.39,528.45,145.27
"65",64.58,14.22,520.36,150.84
"66",66.3,14.99,512.24,156.47
"67",68.12,15.9,504.36,161.62
"68",69.82,16.91,496.58,166.69
"69",71.3,18.37,488.7,171.63
"70",73.04,19.35,480.47,177.14
"71",74.54,20.43,472.14,182.89
"72",76.24,21.53,463.4,188.83
"73",77.19,22.86,455.61,194.34
"74",78.65,23.91,447.26,200.18
"75",80.13,25.12,438.75,206
"76",81.32,26.33,430.56,211.79
"77",82.82,27.66,421.5,218.02
"78",83.95,28.88,412.59,224.58
"79",84.63,30.06,404.2,231.11
"80",85.58,31.66,395.34,237.42
"81",86.3,33.12,386.84,243.74
"82",87.05,34.36,378.77,249.82
"83",87.83,35.87,370.12,256.18
"84",88.44,37.21,361.96,262.39
"85",88.72,38.5,354,268.78
"86",88.95,40.14,345.24,275.67
"87",89.19,41.62,337.54,281.65
"88",88.71,43.25,330.96,287.08
"89",88.37,44.72,323.54,293.37
"90",87.83,46.17,316.37,299.63
"91",87.45,47.47,309.81,305.27
"92",86.86,48.62,303.28,311.24
"93",86.01,50.33,295.9,317.76
"94",84.91,51.81,289.42,323.86
"95",83.75,52.88,283.65,329.72
"96",82.4,54.08,277.82,335.7
"97",81.49,55.24,272.32,340.95
"98",79.67,56.71,266.13,347.49
"99",78.17,58.21,260.08,353.54
"100",76.37,59.53,254.86,359.24
"101",74.82,60.4,248.98,365.8
"102",73.46,61.22,244.2,371.12
"103",71.88,61.65,239.01,377.46
"104",70.19,62.63,233.92,383.26
"105",68.56,63,228.77,389.67
"106",66.7,63.66,224.21,395.43
"107",64.93,64.1,219,401.97
"108",63.16,64.45,214.91,407.48
"109",61.45,64.86,210.4,413.29
"110",59.94,64.86,206.08,419.12
"111",58.3,64.93,202.38,424.39
"112",56.61,65.15,197.65,430.59
"113",54.8,65.3,193.81,436.09
"114",53.07,65.4,190.28,441.25
"115",51.23,65.72,186.41,446.64
"116",49.49,65.85,182.51,452.15
"117",47.66,65.75,178.57,458.02
"118",46.26,65.54,174.99,463.21
"119",44.38,65.64,172.13,467.85
"120",42.78,65.26,168.49,473.47
"121",41.37,65,165.26,478.37
"122",39.9,64.88,161.81,483.41
"123",38.48,64.66,158.25,488.61
"124",36.77,64.5,155.51,493.22
"125",35.62,63.91,152.81,497.66
"126",34.46,63.37,149.87,502.3
"127",33.26,62.89,146.51,507.34
"128",32.19,62.2,143.62,511.99
"129",30.93,61.64,140.97,516.46
"130",29.62,61.02,137.77,521.59
"131",28.45,60.38,134.97,526.2
"132",27.29,59.79,132.73,530.19
"133",26.36,58.97,130.46,534.21
"134",25.3,58.4,128.18,538.12
"135",24.42,57.55,126.34,541.69
"136",23.7,56.71,124.52,545.07
"137",22.78,55.86,122.4,548.96
"138",22.06,54.84,120.01,553.09
"139",21.22,53.95,118.05,556.78
"140",20.58,52.98,115.96,560.48
"141",20,52.13,114.56,563.31
"142",19.24,51.22,112.73,566.81
