"","x"
"1",0
"2",0.18
"3",35.25
"4",47.8125
"5",124.9375
"6",182.024390243902
"7",240.326086956522
"8",297.782608695652
"9",356.425531914894
"10",406.16
"11",448.66
"12",448.30612244898
"13",426.755102040816
"14",394.96
"15",362.489361702128
"16",308.387755102041
"17",220.56
"18",54.72
"19",29.9
"20",20.66
"21",17.12
"22",15.16
"23",11.86
"24",11.82
"25",10.92
"26",9.66
"27",9.36
"28",9.2
"29",7.48
"30",7.28
"31",6.8
"32",6.22
"33",5.1
"34",4.54
"35",4.58
"36",4.04
"37",4.72
"38",4.2
"39",4.46
"40",3.6
