,time,S_C,I_C,S_N,I_N
1,0,75,0,667.5,7.5
2,1.5,74.92698428,0.004496961,667.5383373,7.530181508
3,3,74.8540982,0.008987889,667.5763849,7.560529054
4,4.5,74.78134183,0.013472878,667.614142,7.591043267
5,6,74.70871521,0.01795201,667.6516081,7.621724698
6,7.5,74.63621843,0.022425392,667.6887821,7.652574087
7,9,74.56385153,0.026893114,667.7256633,7.683592043
8,10.5,74.49161459,0.031355267,667.7622509,7.714779207
9,12,74.41950766,0.035811945,667.7985442,7.746136224
10,13.5,74.34753081,0.040263238,667.8345422,7.77766374
11,15,74.27568411,0.04470924,667.8702442,7.809362405
12,16.5,74.20396762,0.049150041,667.9056495,7.841232873
13,18,74.13238141,0.053585733,667.9407571,7.873275801
14,19.5,74.06092555,0.058016408,667.9755662,7.905491849
15,21,73.98960011,0.062442156,668.0100761,7.93788168
16,22.5,73.91840515,0.066863069,668.0442858,7.970445962
17,24,73.84734076,0.071279237,668.0781946,8.003185365
18,25.5,73.776407,0.075690751,668.1118017,8.036100561
19,27,73.70560394,0.080097701,668.1451061,8.069192229
20,28.5,73.63493165,0.084500177,668.1781071,8.102461048
21,30,73.56439022,0.08889827,668.2108038,8.135907701
22,31.5,73.49397972,0.09329207,668.2431953,8.169532876
23,33,73.42370022,0.097681665,668.2752808,8.203337264
24,34.5,73.3535518,0.102067147,668.3070595,8.237321557
25,36,73.28353454,0.106448604,668.3385304,8.271486453
26,37.5,73.21364852,0.110826126,668.3696927,8.305832653
27,39,73.14389382,0.115199802,668.4005455,8.340360861
28,40.5,73.07427051,0.11956972,668.431088,8.375071784
29,42,73.00477869,0.12393597,668.4613192,8.409966132
30,43.5,72.93541843,0.12829864,668.4912383,8.445044621
31,45,72.86618981,0.132657819,668.5208444,8.480307967
32,46.5,72.79709293,0.137013595,668.5501366,8.515756893
33,48,72.72812786,0.141366057,668.579114,8.551392123
34,49.5,72.65929469,0.145715292,668.6077756,8.587214385
35,51,72.59059352,0.150061389,668.6361207,8.62322441
36,52.5,72.52202442,0.154404436,668.6641482,8.659422935
37,54,72.45358749,0.15874452,668.6918573,8.695810697
38,55.5,72.38528281,0.163081729,668.719247,8.732388439
39,57,72.31711048,0.16741615,668.7463165,8.769156906
40,58.5,72.24907059,0.17174787,668.7730647,8.806116848
41,60,72.18116324,0.176076978,668.7994908,8.843269018
42,61.5,72.11338851,0.18040356,668.8255938,8.880614172
43,63,72.0457465,0.184727703,668.8513727,8.918153069
44,64.5,71.9782373,0.189049493,668.8768267,8.955886474
45,66,71.91086102,0.193369019,668.9019548,8.993815153
46,67.5,71.84361775,0.197686365,668.926756,9.031939877
47,69,71.77650758,0.20200162,668.9512294,9.070261421
48,70.5,71.70953062,0.206314868,668.9753739,9.108780561
49,72,71.64268697,0.210626198,668.9991888,9.14749808
50,73.5,71.57597673,0.214935694,669.0226728,9.186414763
51,75,71.50939999,0.219243443,669.0458252,9.225531398
52,76.5,71.44295687,0.223549531,669.0686448,9.264848778
53,78,71.37664747,0.227854044,669.0911308,9.304367698
54,79.5,71.31047189,0.232157067,669.1132821,9.344088959
55,81,71.24443024,0.236458688,669.1350977,9.384013363
56,82.5,71.17852262,0.24075899,669.1565767,9.424141718
57,84,71.11274914,0.24505806,669.177718,9.464474835
58,85.5,71.04710992,0.249355983,669.1985206,9.505013527
59,87,70.98160505,0.253652845,669.2189835,9.545758612
60,88.5,70.91623466,0.25794873,669.2391057,9.586710913
61,90,70.85099885,0.262243725,669.2588862,9.627871256
62,91.5,70.78589774,0.266537914,669.2783239,9.669240468
63,93,70.72093143,0.270831382,669.2974178,9.710819384
64,94.5,70.65610005,0.275124215,669.3161669,9.752608839
65,96,70.59140371,0.279416496,669.3345701,9.794609675
66,97.5,70.52684253,0.283708312,669.3526264,9.836822735
67,99,70.46241662,0.287999747,669.3703348,9.879248868
68,100.5,70.39812609,0.292290886,669.3876941,9.921888925
