,time,S_C,I_C,S_N,I_N
1,0,75,0,667.5,7.5
2,1.5,74.6922251,0.004490467,667.7712047,7.532079716
3,3,74.38601486,0.008961924,668.0406689,7.564354271
4,4.5,74.08136305,0.013414485,668.3083981,7.596824359
5,6,73.77826424,0.017848251,668.5743969,7.629490592
6,7.5,73.47671125,0.022263354,668.8386716,7.662353787
7,9,73.1766982,0.026659902,669.1012273,7.695414624
8,10.5,72.87821899,0.031038007,669.3620692,7.728673812
9,12,72.58126755,0.035397783,669.6212026,7.762132065
10,13.5,72.28583785,0.03973934,669.8786327,7.7957901
11,15,71.99192389,0.044062791,670.1343647,7.829648639
12,16.5,71.69951969,0.048368247,670.3884037,7.863708408
13,18,71.4086193,0.052655819,670.6407547,7.897970135
14,19.5,71.11921681,0.056925617,670.891423,7.932434554
15,21,70.83130635,0.061177752,671.1404135,7.9671024
16,22.5,70.54488206,0.065412334,671.3877312,8.001974416
17,24,70.25993812,0.069629471,671.6333811,8.037051345
18,25.5,69.97646873,0.073829274,671.8773681,8.072333935
19,27,69.69446814,0.07801185,672.1196971,8.107822939
20,28.5,69.41393062,0.08217731,672.360373,8.143519111
21,30,69.13485047,0.08632576,672.5994006,8.179423213
22,31.5,68.85722201,0.090457309,672.8367847,8.215536008
23,33,68.5810396,0.094572065,673.0725301,8.251858262
24,34.5,68.30629763,0.098670134,673.3066415,8.288390748
25,36,68.03299052,0.102751624,673.5391236,8.325134241
26,37.5,67.76111271,0.106816642,673.7699811,8.36208952
27,39,67.49065868,0.110865293,673.9992187,8.399257367
28,40.5,67.22162293,0.114897685,674.2268408,8.43663857
29,42,66.954,0.118913922,674.4528522,8.474233919
30,43.5,66.68778445,0.122914111,674.6772572,8.51204421
31,45,66.42297086,0.126898356,674.9000605,8.55007024
32,46.5,66.15955387,0.130866762,675.1212666,8.588312813
33,48,65.89752811,0.134819435,675.3408797,8.626772735
34,49.5,65.63688827,0.138756479,675.5589044,8.665450816
35,51,65.37762904,0.142677998,675.7753451,8.70434787
36,52.5,65.11974516,0.146584095,675.990206,8.743464717
37,54,64.8632314,0.150474875,676.2034916,8.782802177
38,55.5,64.60808253,0.15435044,676.415206,8.822361078
39,57,64.35429338,0.158210894,676.6253535,8.862142249
40,58.5,64.10185878,0.162056341,676.8339383,8.902146525
41,60,63.85077362,0.165886881,677.0409648,8.942374744
42,61.5,63.60103279,0.169702619,677.2464368,8.982827748
43,63,63.35263121,0.173503655,677.4503587,9.023506383
44,64.5,63.10556385,0.177290093,677.6527346,9.064411499
45,66,62.85982567,0.181062033,677.8535683,9.10554395
46,67.5,62.61541169,0.184819577,678.0528641,9.146904594
47,69,62.37231694,0.188562827,678.2506259,9.188494293
48,70.5,62.13053649,0.192291883,678.4468577,9.230313915
49,72,61.89006542,0.196006846,678.6415634,9.272364328
50,73.5,61.65089885,0.199707818,678.8347469,9.314646406
51,75,61.41303192,0.203394897,679.0264122,9.357161029
52,76.5,61.17645979,0.207068186,679.2165629,9.399909078
53,78,60.94117766,0.210727783,679.4052031,9.44289144
54,79.5,60.70718076,0.214373788,679.5923364,9.486109005
55,81,60.47446432,0.218006301,679.7779667,9.529562667
56,82.5,60.24302363,0.221625422,679.9620976,9.573253325
57,84,60.01285397,0.22523125,680.1447329,9.617181882
58,85.5,59.78395067,0.228823884,680.3258762,9.661349243
59,87,59.55630909,0.232403422,680.5055312,9.705756321
60,88.5,59.32992459,0.235969964,680.6837014,9.750404029
61,90,59.10479258,0.239523608,680.8603905,9.795293286
62,91.5,58.88090849,0.243064453,681.035602,9.840425016
63,93,58.65826777,0.246592597,681.2093395,9.885800145
64,94.5,58.43686588,0.250108138,681.3816064,9.931419605
65,96,58.21669835,0.253611173,681.5524061,9.977284331
66,97.5,57.99776069,0.257101802,681.7217422,10.02339526
67,99,57.78004845,0.260580121,681.8896181,10.06975334
68,100.5,57.56355722,0.264046228,682.056037,10.11635952
69,102,57.34828259,0.26750022,682.2210024,10.16321474
70,103.5,57.13422019,0.270942195,682.3845176,10.21031997
71,105,56.92136567,0.27437225,682.5465859,10.25767616
72,106.5,56.70971471,0.277790482,682.7072105,10.30528429
