"","Time","SC","IC","SN","IN"
"1",0,0,0,742.5,7.5
"2",30,0.759980208055127,0.000821399717563112,740.279290890731,8.95990750149689
"3",60,1.5990687278446,0.00372717475450191,737.701394970324,10.6958091270769
"4",90,2.53714207444344,0.00959174814455325,734.696202115935,12.7570640614767
"5",120,3.59682758184527,0.0196605207394075,731.182913574508,15.2005983229077
"6",150,4.80382604587507,0.0356935829099192,727.068938708741,18.0915416624741
"7",180,6.18720178779897,0.0601636299406288,722.248946169208,21.5036884130528
"8",210,7.7795873223785,0.0965181995102018,716.604275110988,25.5196193671229
"9",240,9.61727151536009,0.149529953047108,710.002840809721,30.2303577218716
"10",270,11.7400910224231,0.225751222064308,702.299846271822,35.7343114836902
"11",300,14.1910422300148,0.334097165669771,693.339629160829,42.1352314434865
"12",330,17.0155282038028,0.486565254376999,682.958967840137,49.538938701683
"13",360,20.2601324604987,0.699103075570488,670.992264082597,58.0485003813332
"14",390,23.970828149654,0.992606144338898,657.278928905251,67.757636800756
"15",420,28.1905667178846,1.39399772980898,641.673146059429,78.7422894928769
"16",450,32.9562450629026,1.93729874076496,624.055953391305,91.0505028050266
"17",480,38.2951492068905,2.66453807498993,604.349165794578,104.691146923541
"18",510,44.2210979688135,3.62629401510024,582.530151899387,119.622456116698
"19",540,50.7306505947901,4.88160807313411,558.645907130806,135.741834201269
"20",570,57.7998631679573,6.4969982032529,532.824388056214,152.878750572576
"21",600,65.3821388398352,8.54434008371958,505.280851874351,170.792669202094
"22",630,73.4076784524784,11.0975011653259,476.317141473064,189.177678909131
"23",660,81.784867661025,14.2278051288645,446.312615254983,207.674711955127
"24",690,90.4036590957511,17.9986565886719,415.706661609525,225.891022706051
"25",720,99.1406734162337,22.4598625406807,384.974229539711,243.425234503374
"26",750,107.865477435392,27.6423771922312,354.597103509289,259.895041863087
"27",780,116.447296511652,33.5541652011192,325.034554005463,274.963984281765
"28",810,124.761440923478,40.1778444701632,296.697072354253,288.363642252106
"29",840,132.694822446398,47.470397553924,269.926207776022,299.908572223655
"30",870,140.150185255413,55.3649777862893,244.982245059968,309.50259189833
"31",900,147.048905333402,63.7745265428932,222.040070906265,317.13649721744
"32",930,153.332393771499,72.596685136444,201.192311302611,322.878609789446
