"","Time","SC","IC","SN","IN"
"1",0,0,0,742.5,7.5
"2",30,0.759530721037466,0.000820898837348441,740.279735862254,8.95991251787124
"3",60,1.59822503122508,0.00372506820701047,737.702228032467,10.695821868101
"4",90,2.53598402410069,0.0095868127685046,734.697341828147,12.7570873349835
"5",120,3.59547398933241,0.0196515357806396,731.184240101698,15.2006343731888
"6",150,4.80245639074878,0.0356796250761029,727.070273174711,18.0915908094638
"7",180,6.18608922716107,0.0601446666221001,722.250019927186,21.5037461790304
"8",210,7.77914899680134,0.096496282434034,716.604683650141,25.5196710706234
"9",240,9.61814551073219,0.149511452296162,710.001974655805,30.2303683811667
"10",270,11.7432541476343,0.225750992556644,702.296787742277,35.7342071175317
"11",300,14.1979907997755,0.334146138744662,693.332997918563,42.1348651429164
"12",330,17.0285541902615,0.486724051262372,682.94669153992,49.5380302185561
"13",360,20.2827438281351,0.699486289164606,670.971241210876,58.0465286718244
"14",390,24.0083836846141,0.993424982758707,657.244538777535,67.7536525550916
"15",420,28.251223290111,1.39563401937823,641.618550475361,78.7345922151496
"16",450,33.0523479382396,1.94043132731764,623.971125732268,91.036095002175
"17",480,38.4452279890356,2.67035465611704,604.219585106839,104.664832248008
"18",510,44.4526510955429,3.63683793656032,582.335120539114,119.575390428783
"19",540,51.0838913758635,4.90033011955947,558.356501739616,135.659276764961
"20",570,58.3325337106337,6.52960549447576,532.401148311943,152.736712482947
"21",600,66.1753529024445,8.60004938751128,504.671433180461,170.553164529583
"22",630,74.5725111236023,11.1908037460123,475.454304071338,188.782381059048
"23",660,83.4690898076546,14.3808185646881,445.113030787325,207.037060840333
"24",690,92.7976678802543,18.2440570079045,414.071028376553,224.887246735289
"25",720,102.481417485903,22.8442766808797,382.789102021954,241.885203811263
"26",750,112.437091246831,28.2299368557472,351.738521722067,257.594450175354
"27",780,122.577371856801,34.4298213996146,321.373313215932,271.619493527652
"28",810,132.81236856715,41.4498271099887,292.105042573205,283.632761749656
"29",840,143.050334953359,49.2713294556586,264.28305575901,293.395279831972
"30",870,152.750509147199,57.8410346049251,238.45397223727,300.954484010606
"31",900,161.121813269977,67.0242230891203,215.183120440431,306.670843200471
"32",930,168.140572736796,76.6513938919209,194.466248709437,310.741784661846
"33",960,173.837627736301,86.5500140762301,176.21863642515,313.393721762319
"34",990,178.279308382618,96.552769556172,160.300458952297,314.867463108913
"35",1020,181.557749537608,106.504518476081,146.535613189084,315.402118797226
"36",1050,183.782623281234,116.26660020952,134.72643445498,315.224342054266
"37",1080,185.073448225721,125.720063636872,124.666816062347,314.53967207506
"38",1110,185.553398667882,134.766939595256,116.151789911423,313.527871825439
"39",1140,185.344389826921,143.330363084824,108.984576365861,312.340670722393
"40",1170,184.563446981764,151.353642256636,102.981184333204,311.101726428396
"41",1200,183.320090979046,158.798729667465,97.973276616074,309.907902737414
"42",1230,181.714646486659,165.644241065059,93.8095413839824,308.831571064298
"43",1260,179.837267232379,171.883257687882,90.3560076989312,307.923467380807
"44",1290,177.767539140269,177.521072087456,87.4956059216301,307.215782850644
"45",1320,175.57450706952,182.572979656858,85.1272338481737,306.725279425448
